,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,998,2,0,0,1000,0,2,3998,0
2,2,996,4,0,0,1000,2,4,4000,0
3,3,995,5,0,2,998,1,5,3992,2
4,4,994,6,0,221,779,1,6,3116,0
5,5,993,7,0,3,997,1,7,3988,2
6,6,993,5,2,224,776,0,7,3104,1
7,7,992,6,2,198,802,1,8,3206,1
8,8,991,5,4,187,813,1,9,3252,1
9,9,990,5,5,184,816,1,10,3262,0
10,10,989,5,6,2,998,1,11,3990,1
11,11,987,6,7,183,817,2,13,3266,1
12,12,986,7,7,184,816,1,14,3264,1
13,13,985,7,8,185,815,1,15,3260,1
14,14,985,6,9,191,809,0,15,3236,2
15,15,984,6,10,237,763,1,16,3052,1
16,16,982,7,11,190,810,2,18,3238,1
17,17,979,8,13,189,811,3,21,3244,0
18,18,976,10,14,1,999,3,24,3994,1
19,19,973,12,15,185,815,3,27,3260,2
20,20,970,15,15,234,766,3,30,3064,3
21,21,968,16,16,249,751,2,32,3002,3
22,22,965,17,18,251,749,3,35,2996,3
23,23,963,16,21,249,751,2,37,3002,3
24,24,962,14,24,247,753,1,38,3012,2
25,25,961,12,27,239,761,1,39,3042,3
26,26,960,10,30,246,754,1,40,3016,2
27,27,958,10,32,237,763,2,42,3052,1
28,28,955,10,35,188,812,3,45,3246,1
29,29,953,10,37,191,809,2,47,3236,1
30,30,951,11,38,191,809,2,49,3234,2
31,31,948,13,39,238,762,3,52,3046,3
32,32,944,16,40,246,754,4,56,3016,2
33,33,938,20,42,241,759,6,62,3036,2
34,34,926,29,45,242,758,12,74,3030,3
35,35,912,41,47,248,752,14,88,3008,4
36,36,897,54,49,288,712,15,103,2846,6
37,37,881,67,52,335,665,16,119,2658,12
38,38,861,83,56,505,495,20,139,1980,14
39,39,844,94,62,552,448,17,156,1792,15
40,40,829,97,74,637,363,15,171,1452,16
41,41,814,98,88,589,411,15,186,1642,20
42,42,802,95,103,659,341,12,198,1362,17
43,43,788,93,119,607,393,14,212,1572,15
44,44,771,90,139,658,342,17,229,1368,15
45,45,759,85,156,653,347,12,241,1386,12
46,46,752,77,171,525,475,7,248,1896,14
47,47,744,70,186,578,422,8,256,1688,17
48,48,741,61,198,592,408,3,259,1630,12
49,49,736,52,212,524,476,5,264,1902,7
50,50,731,40,229,347,653,5,269,2610,8
51,51,730,29,241,364,636,1,270,2544,3
52,52,726,26,248,257,743,4,274,2970,5
53,53,725,19,256,381,619,1,275,2476,5
54,54,720,21,259,346,654,5,280,2614,1
55,55,718,18,264,204,796,2,282,3184,4
56,56,715,16,269,284,716,3,285,2864,1
57,57,713,17,270,192,808,2,287,3232,5
58,58,712,14,274,365,635,1,288,2538,2
59,59,708,17,275,243,757,4,292,3026,3
60,60,706,14,280,245,755,2,294,3020,2
61,61,705,13,282,236,764,1,295,3056,1
62,62,703,12,285,199,801,2,297,3202,4
63,63,702,11,287,282,718,1,298,2870,2
64,64,702,10,288,241,759,0,298,3036,1
65,65,702,6,292,192,808,0,298,3232,2
66,66,702,4,294,233,767,0,298,3066,1
67,67,702,3,295,188,812,0,298,3248,0
68,68,702,1,297,2,998,0,298,3990,0
69,69,701,1,298,0,1000,1,299,3998,0
70,70,701,1,298,0,1000,0,299,4000,0
71,71,700,2,298,0,1000,1,300,4000,0
72,72,698,4,298,0,1000,2,302,3998,1
73,73,698,4,298,187,813,0,302,3252,0
74,74,698,4,298,3,997,0,302,3988,1
75,75,698,3,299,185,815,0,302,3258,2
76,76,698,3,299,212,788,0,302,3150,0
77,77,696,4,300,2,998,2,304,3990,0
78,78,696,2,302,2,998,0,304,3990,0
79,79,695,3,302,0,1000,1,305,3998,0
80,80,694,4,302,1,999,1,306,3996,2
81,81,694,4,302,219,781,0,306,3124,0
82,82,693,5,302,1,999,1,307,3996,1
83,83,692,4,304,189,811,1,308,3242,1
84,84,691,5,304,191,809,1,309,3236,0
85,85,688,7,305,1,999,3,312,3994,1
86,86,688,6,306,188,812,0,312,3246,1
87,87,688,6,306,189,811,0,312,3242,1
88,88,688,5,307,188,812,0,312,3246,3
89,89,688,4,308,241,759,0,312,3034,0
90,90,688,3,309,4,996,0,312,3984,0
91,91,688,0,312,3,997,0,312,3988,0
