,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,998,2,0,0,1000,0,2,5000,0
2,2,996,4,0,0,1000,2,4,5000,0
3,3,995,5,0,1,999,1,5,4994,2
4,4,990,10,0,214,786,5,10,3928,0
5,5,982,18,0,1,999,8,18,4994,2
6,6,972,26,2,218,782,10,28,3910,1
7,7,956,42,2,177,823,16,44,4112,5
8,8,940,56,4,339,661,16,60,3304,8
9,9,908,87,5,346,654,32,92,3268,10
10,10,884,106,10,438,562,24,116,2808,16
11,11,842,140,18,569,431,42,158,2154,16
12,12,791,181,28,567,433,51,209,2164,32
13,13,744,212,44,697,303,47,256,1514,24
14,14,688,252,60,689,311,56,312,1554,42
15,15,653,255,92,728,272,35,347,1358,51
16,16,619,265,116,787,213,34,381,1060,47
17,17,591,251,158,788,212,28,409,1058,56
18,18,578,213,209,803,197,13,422,984,35
19,19,572,172,256,805,195,6,428,974,34
20,20,563,125,312,744,256,9,437,1278,28
21,21,561,92,347,727,273,2,439,1364,13
22,22,556,63,381,522,478,5,444,2390,6
23,23,554,37,409,356,644,2,446,3218,9
24,24,552,26,422,319,681,2,448,3404,2
25,25,549,23,428,222,778,3,451,3888,5
26,26,547,16,437,338,662,2,453,3310,2
27,27,545,16,439,226,774,2,455,3870,2
28,28,542,14,444,218,782,3,458,3908,3
29,29,537,17,446,219,781,5,463,3902,2
30,30,532,20,448,224,776,5,468,3878,2
31,31,528,21,451,223,777,4,472,3882,3
32,32,525,22,453,220,780,3,475,3900,5
33,33,524,21,455,348,652,1,476,3260,5
34,34,523,19,458,343,657,1,477,3284,4
35,35,523,14,463,266,734,0,477,3670,3
36,36,520,12,468,223,777,3,480,3884,1
37,37,517,11,472,187,813,3,483,4064,1
38,38,514,11,475,180,820,3,486,4098,0
39,39,506,18,476,3,997,8,494,4984,3
40,40,503,20,477,222,778,3,497,3890,3
41,41,501,22,477,214,786,2,499,3928,3
42,42,496,24,480,222,778,5,504,3890,8
43,43,494,23,483,321,679,2,506,3394,3
44,44,491,23,486,225,775,3,509,3874,2
45,45,489,17,494,228,772,2,511,3860,5
46,46,488,15,497,341,659,1,512,3294,2
47,47,486,15,499,217,783,2,514,3914,3
48,48,486,10,504,226,774,0,514,3870,2
49,49,486,8,506,223,777,0,514,3884,1
50,50,486,5,509,189,811,0,514,4054,2
51,51,486,3,511,210,790,0,514,3948,0
52,52,486,2,512,2,998,0,514,4990,0
53,53,485,1,514,1,999,1,515,4994,0
54,54,485,1,514,0,1000,0,515,5000,0
55,55,484,2,514,0,1000,1,516,5000,0
56,56,484,2,514,0,1000,0,516,4998,1
57,57,483,3,514,193,807,1,517,4034,0
58,58,483,3,514,2,998,0,517,4988,1
59,59,483,2,515,185,815,0,517,4074,0
60,60,482,3,515,1,999,1,518,4994,1
61,61,481,3,516,182,818,1,519,4090,0
62,62,481,3,516,1,999,0,519,4992,0
63,63,480,3,517,1,999,1,520,4994,1
64,64,480,3,517,183,817,0,520,4084,1
65,65,480,3,517,190,810,0,520,4048,0
66,66,480,2,518,2,998,0,520,4990,1
67,67,480,1,519,190,810,0,520,4050,0
68,68,480,1,519,1,999,0,520,4994,0
69,69,480,0,520,0,1000,0,520,5000,0
