,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,995,5,0,0,1000,3,5,5000,0
2,2,988,12,0,1,999,7,12,4994,0
3,3,982,18,0,2,998,6,18,4988,2
4,4,975,25,0,219,781,7,25,3904,3
5,5,969,31,0,240,760,6,31,3798,7
6,6,962,36,2,299,701,7,38,3504,6
7,7,956,39,5,362,638,6,44,3188,7
8,8,943,45,12,307,693,13,57,3464,6
9,9,930,52,18,375,625,13,70,3124,7
10,10,904,71,25,312,688,26,96,3440,6
11,11,884,85,31,374,626,20,116,3130,13
12,12,867,95,38,529,471,17,133,2354,13
13,13,848,108,44,539,461,19,152,2304,26
14,14,831,112,57,681,319,17,169,1594,20
15,15,821,109,70,651,349,10,179,1742,17
16,16,805,99,96,583,417,16,195,2082,19
17,17,788,96,116,539,461,17,212,2304,17
18,18,771,96,133,586,414,17,229,2070,10
19,19,749,99,152,468,532,22,251,2658,16
20,20,731,100,169,581,419,18,269,2092,17
21,21,710,111,179,578,422,21,290,2108,17
22,22,689,116,195,607,393,21,311,1964,22
23,23,672,116,212,679,321,17,328,1602,18
24,24,659,112,229,593,407,13,341,2034,21
25,25,652,97,251,668,332,7,348,1658,21
26,26,648,83,269,665,335,4,352,1674,17
27,27,643,67,290,591,409,5,357,2044,13
28,28,635,54,311,558,442,8,365,2210,7
29,29,630,42,328,325,675,5,370,3372,4
30,30,623,36,341,281,719,7,377,3594,5
31,31,617,35,348,372,628,6,383,3140,8
32,32,611,37,352,364,636,6,389,3178,5
33,33,608,35,357,378,622,3,392,3110,7
34,34,604,31,365,313,687,4,396,3434,6
35,35,603,27,370,360,640,1,397,3198,6
36,36,601,22,377,359,641,2,399,3204,3
37,37,599,18,383,251,749,2,401,3744,4
38,38,597,14,389,271,729,2,403,3644,1
39,39,594,14,392,179,821,3,406,4104,2
40,40,594,10,396,226,774,0,406,3868,2
41,41,594,9,397,228,772,0,406,3858,2
42,42,594,7,399,224,776,0,406,3880,3
43,43,592,7,401,231,769,2,408,3844,0
44,44,591,6,403,4,996,1,409,4980,0
45,45,590,4,406,0,1000,1,410,4996,0
46,46,588,6,406,0,1000,2,412,5000,2
47,47,587,7,406,223,777,1,413,3884,1
48,48,587,7,406,191,809,0,413,4042,1
49,49,587,5,408,177,823,0,413,4114,2
50,50,587,4,409,215,785,0,413,3924,1
51,51,585,5,410,182,818,2,415,4088,0
52,52,585,3,412,3,997,0,415,4984,0
53,53,583,4,413,0,1000,2,417,4998,0
54,54,580,7,413,1,999,3,420,4994,2
55,55,579,8,413,224,776,1,421,3880,0
56,56,578,9,413,3,997,1,422,4984,2
57,57,577,8,415,233,767,1,423,3834,3
58,58,577,8,415,235,765,0,423,3824,1
59,59,576,7,417,178,822,1,424,4108,1
60,60,576,4,420,183,817,0,424,4084,1
61,61,576,3,421,176,824,0,424,4118,0
62,62,575,3,422,3,997,1,425,4984,1
63,63,573,4,423,184,816,2,427,4080,0
64,64,571,6,423,1,999,2,429,4992,0
65,65,568,8,424,0,1000,3,432,5000,1
66,66,566,10,424,182,818,2,434,4088,2
67,67,563,13,424,238,762,3,437,3808,2
68,68,562,13,425,230,770,1,438,3848,3
69,69,560,13,427,235,765,2,440,3824,2
70,70,555,16,429,224,776,5,445,3878,3
71,71,555,13,432,237,763,0,445,3814,1
72,72,554,12,434,180,820,1,446,4100,2
73,73,554,9,437,227,773,0,446,3862,5
74,74,554,8,438,361,639,0,446,3194,0
75,75,554,6,440,6,994,0,446,4970,1
76,76,554,1,445,191,809,0,446,4044,0
77,77,554,1,445,2,998,0,446,4990,0
78,78,554,0,446,1,999,0,446,4994,0
