,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,996,4,0,0,1000,2,4,4998,0
2,2,992,8,0,0,1000,4,8,4998,0
3,3,988,12,0,1,999,4,12,4994,2
4,4,981,19,0,232,768,7,19,3838,2
5,5,973,27,0,230,770,8,27,3850,4
6,6,961,37,2,279,721,12,39,3604,4
7,7,943,53,4,272,728,18,57,3640,7
8,8,919,73,8,306,694,24,81,3470,8
9,9,894,94,12,361,639,25,106,3194,12
10,10,860,121,19,490,510,34,140,2548,18
11,11,825,148,27,559,441,35,175,2202,24
12,12,788,173,39,702,298,37,212,1490,25
13,13,759,184,57,726,274,29,241,1368,34
14,14,717,202,81,756,244,42,283,1220,35
15,15,685,209,106,781,219,32,315,1094,37
16,16,648,212,140,758,242,37,352,1208,29
17,17,624,201,175,737,263,24,376,1314,42
18,18,603,185,212,780,220,21,397,1100,32
19,19,588,171,241,773,227,15,412,1134,37
20,20,578,139,283,796,204,10,422,1018,24
21,21,571,114,315,726,274,7,429,1370,21
22,22,564,84,352,685,315,7,436,1574,15
23,23,557,67,376,625,375,7,443,1874,10
24,24,549,54,397,449,551,8,451,2754,7
25,25,545,43,412,326,674,4,455,3368,7
26,26,540,38,422,331,669,5,460,3344,7
27,27,538,33,429,315,685,2,462,3422,8
28,28,536,28,436,375,625,2,464,3122,4
29,29,534,23,443,293,707,2,466,3534,5
30,30,533,16,451,365,635,1,467,3174,2
31,31,533,12,455,235,765,0,467,3824,2
32,32,533,7,460,235,765,0,467,3824,2
33,33,533,5,462,231,769,0,467,3844,1
34,34,533,3,464,190,810,0,467,4050,0
35,35,531,3,466,1,999,2,469,4994,0
36,36,531,2,467,0,1000,0,469,4998,0
37,37,530,3,467,0,1000,1,470,4998,0
38,38,530,3,467,0,1000,0,470,5000,2
39,39,530,3,467,224,776,0,470,3878,0
40,40,529,4,467,2,998,1,471,4988,1
41,41,529,2,469,200,800,0,471,3998,0
42,42,528,3,469,1,999,1,472,4994,0
43,43,527,3,470,2,998,1,473,4990,1
44,44,526,4,470,178,822,1,474,4110,0
45,45,524,6,470,1,999,2,476,4994,1
46,46,522,7,471,190,810,2,478,4048,1
47,47,519,10,471,184,816,3,481,4078,1
48,48,518,10,472,188,812,1,482,4060,2
49,49,517,10,473,237,763,1,483,3814,2
50,50,517,9,474,233,767,0,483,3834,3
51,51,517,7,476,243,757,0,483,3782,1
52,52,517,5,478,197,803,0,483,4014,1
53,53,517,2,481,192,808,0,483,4040,0
54,54,517,1,482,1,999,0,483,4994,0
55,55,516,1,483,0,1000,1,484,5000,0
56,56,516,1,483,0,1000,0,484,5000,0
57,57,516,1,483,0,1000,0,484,4998,0
58,58,516,1,483,1,999,0,484,4994,1
59,59,516,1,483,189,811,0,484,4054,0
60,60,516,1,483,1,999,0,484,4994,0
61,61,516,0,484,1,999,0,484,4994,0
